Rozliseni;Cislo;VS;Dodavatel;IcDodavatele;UcelPlatby;DatumPrijeti;DatumSplatnosti;DatumUhrady;Mena;Fakturovano;Uhrada;KodStredisko;NazevStredisko;KodRozpPolozka;NazevRozpPolozka
"F";1178;2020012085;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";01.10.2020;20.10.2020;08.10.2020;"CZK";79860.00;79860.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1179;20257;"MABI Information Security";"24760005";"SLUŽBY";01.10.2020;16.10.2020;08.10.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1181;20200043;"Fučík Vladimír, JUDr., advokát";"66215480";"PRÁVNÍ SLUŽBY";01.10.2020;30.10.2020;08.10.2020;"CZK";151098.75;151098.75;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5166";"Konzultační, poradenské a právní služby"
"F";1197;2086;"Talea / Public Space Media s.r.o.";"64581811";"HODNOCENÍ PROJEKTŮ";05.10.2020;19.10.2020;07.10.2020;"CZK";66396.00;66396.00;"432";"OSF/FM ODBOR STRUKTURÁLNÍCH FONDŮ /FM EHP Norska";"5166";"Konzultační, poradenské a právní služby"
"F";1209;20201027;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 09/20";07.10.2020;05.11.2020;;"CZK";155606.00;;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"";""
"F";1212;1727866806;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 09/20";07.10.2020;14.10.2020;14.10.2020;"CZK";106838.92;106838.92;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5156";"Pohonné hmoty a maziva"
"F";1213;201534;"Monitor Cz, s. r. o.";"26142104";"PŘEDPLATNÉ";07.10.2020;30.10.2020;16.10.2020;"CZK";91995.00;91995.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5136";"Knihy, učební pomůcky a tisk"
"F";1233;9464002348;"T-MOBIL CZECH REPUBLIC AS";"64949681";"SLUŽBY";09.10.2020;31.10.2020;15.10.2020;"CZK";202662.90;202662.90;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";1235;8003604451;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 09/20";09.10.2020;30.10.2020;15.10.2020;"CZK";57339.22;57339.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";1236;200101539;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA";09.10.2020;09.11.2020;15.10.2020;"CZK";144771.66;144771.66;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1238;1201693;"Indus Praha, s.r.o.";"24210668";"OSTRAHA NP";09.10.2020;21.10.2020;16.10.2020;"CZK";317035.13;317035.13;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1240;1201692;"Indus Praha, s.r.o.";"24210668";"OSTRAHA MH";09.10.2020;21.10.2020;16.10.2020;"CZK";246251.34;246251.34;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1247;300000210;"ASD SOFTWARE SRO";"62363930";"SLUŽBY III.Q 2020";12.10.2020;02.11.2020;16.10.2020;"CZK";60621.00;60621.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1251;18102020;"Frič Viktor s.r.o.";"27180191";"RESTAURÁTORSKÉ PRÁCE";13.10.2020;29.10.2020;29.10.2020;"CZK";258428.17;258428.17;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";1252;1102792110;"EP ENERGY TRADING, a.s.";"27386643";"EL. ENERGIE";13.10.2020;28.10.2020;29.10.2020;"CZK";95357.00;95357.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";1266;20201027;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 09/20";15.10.2020;05.11.2020;03.11.2020;"CZK";188989.90;188989.90;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1267;9090375629;"PRAŽSKÁ ENERGETIKA AS";"60193913";"EL. ENERGIE";15.10.2020;29.10.2020;29.10.2020;"CZK";71777.96;71777.96;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";1270;2020170855;"Metrostav Facility s.r.o.";"25731424";"SERVISNÍ A MATERIÁLOVÁ PODPORA 09/20";15.10.2020;08.11.2020;03.11.2020;"CZK";175060.38;175060.38;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";1283;3049320429;"SÍŤ, spol. s r.o.";"60779420";"SLUŽBY";19.10.2020;14.11.2020;26.10.2020;"CZK";60500.00;60500.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1304;5020032168;"LMC s.r.o.";"26441381";"INZERCE";27.10.2020;29.10.2020;04.11.2020;"CZK";59169.00;59169.00;"120";"KST  /  KANCELÁŘ STÁTNÍHO TAJEMNÍKA";"5169";"Nákup ostatních služeb"
"F";1315;114839;"FEMAT Radotín s.r.o.";"17048818";"OPRAVA VOZU";02.11.2020;11.10.2020;06.11.2020;"CZK";94789.00;94789.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";1325;20286;"MABI Information Security";"24760005";"SLUŽBY";02.11.2020;20.11.2020;09.11.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1336;1727866871;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 10/20";04.11.2020;14.11.2020;12.11.2020;"CZK";87812.40;87812.40;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5156";"Pohonné hmoty a maziva"
"F";1341;10141503;"KSP Computer & Services, s.r.o.";"27875849";"ZBOŽÍ";05.11.2020;29.11.2020;12.11.2020;"CZK";354530.00;354530.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5137";"Drobný hmotný dlouhodobý majetek"
"F";1343;1201888;"Indus Praha, s.r.o.";"24210668";"OSTRAHA MH";05.11.2020;21.11.2020;23.11.2020;"CZK";258021.01;258021.01;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1344;1201889;"Indus Praha, s.r.o.";"24210668";"OSTRAHA NP";05.11.2020;21.11.2020;23.11.2020;"CZK";325323.63;325323.63;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1345;20201173;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 10/20";05.11.2020;04.12.2020;12.11.2020;"CZK";155606.00;155606.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1349;202037;"TELAMON s.r.o.";"25670808";"VÝROBA STOLKŮ PRO WIFI";09.11.2020;30.11.2020;16.11.2020;"CZK";59895.00;59895.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5169";"Nákup ostatních služeb"
"F";1351;8003726161;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 10/20";10.11.2020;30.11.2020;16.11.2020;"CZK";60026.73;60026.73;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";1356;200101797;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA";11.11.2020;10.12.2020;20.11.2020;"CZK";141310.82;141310.82;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1357;9464002348;"T-MOBIL CZECH REPUBLIC AS";"64949681";"SLUŽBY";11.11.2020;02.12.2020;20.11.2020;"CZK";202662.90;202662.90;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";1359;1102792111;"EP ENERGY TRADING, a.s.";"27386643";"EL. ENERGIE";11.11.2020;25.11.2020;23.11.2020;"CZK";98855.00;98855.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";1363;22000872;"MÚZO PRAHA SRO";"49622897";"ZPRACOVÁNÍ ÚČETNÍCH VÝKAZŮ";11.11.2020;10.12.2020;27.11.2020;"CZK";52942.34;52942.34;"420";"OE  / ODDĚLENÍ ROZPOČTU";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1373;422200975;"ČESKÁ TELEVIZE";"00027383";"VÝROBA POŘADU";13.11.2020;27.11.2020;01.12.2020;"CZK";352110.00;352110.00;"520";"OULKKKP  /  ODDĚLENÍ UMĚNÍ";"5169";"Nákup ostatních služeb"
"F";1376;9100378760;"PRAŽSKÁ ENERGETIKA AS";"60193913";"EL. ENERGIE";16.11.2020;30.11.2020;30.11.2020;"CZK";81426.00;81426.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";1409;115787;"FEMAT Radotín s.r.o.";"17048818";"VÝMĚNA PNEUMATIK A OPRAVA VOZU";19.11.2020;30.11.2020;30.11.2020;"CZK";51385.00;51385.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";1433;4102291001;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";23.11.2020;30.11.2020;01.12.2020;"CZK";114999.01;114999.01;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";1434;4102281001;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";23.11.2020;30.01.2020;01.12.2020;"CZK";78539.56;78539.56;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";1472;578162020;"OCC s.r.o.";"27970922";"ZBOŽÍ";25.11.2020;23.12.2020;04.12.2020;"CZK";294578.86;294578.86;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5137";"Drobný hmotný dlouhodobý majetek"
"F";1511;20315;"MABI Information Security";"24760005";"SLUŽBY";02.12.2020;21.12.2020;07.12.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1526;2000521219;"Murator EXPO";"";"LORO - KNIŽNÍ VELETRH";02.12.2020;16.12.2020;09.12.2020;"CZK";1621431.02;1621431.02;"530";"OULKKKP /  ODDĚLENÍ LITERATURY A KNIHOVEN";"";""
"F";1530;22000999;"MÚZO PRAHA SRO";"49622897";"EIS JASU - DOTACE";02.12.2020;22.12.2020;09.12.2020;"CZK";206910.00;206910.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1547;1727866927;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 11/20";04.12.2020;14.12.2020;11.12.2020;"CZK";64102.42;64102.42;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"";""
"F";1555;2020170979;"Metrostav Facility s.r.o.";"25731424";"SERVIS KOTLŮ - NP A MH";07.12.2020;13.12.2020;11.12.2020;"CZK";153158.17;153158.17;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";1559;1202087;"Indus Praha, s.r.o.";"24210668";"OSTRAHA NP";07.12.2020;21.12.2020;11.12.2020;"CZK";313305.30;313305.30;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1567;1202088;"Indus Praha, s.r.o.";"24210668";"OSTRAHA MH";08.12.2020;21.12.2020;14.12.2020;"CZK";248655.00;248655.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1571;8003789900;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 11/20";08.12.2020;30.12.2020;14.12.2020;"CZK";59400.29;59400.29;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";1573;200102122;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA";08.12.2020;09.01.2021;14.12.2020;"CZK";139741.33;139741.33;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1576;2020012146;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";08.12.2020;28.12.2020;15.12.2020;"CZK";79860.00;79860.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1577;2020012137;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";08.12.2020;28.12.2020;15.12.2020;"CZK";136518.25;136518.25;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1580;2020012141;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";08.12.2020;28.12.2020;15.12.2020;"CZK";54450.00;54450.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1584;2020012145;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";08.12.2020;28.12.2020;15.12.2020;"CZK";68145.99;68145.99;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1585;2020012138;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";08.12.2020;28.12.2020;15.12.2020;"CZK";138787.00;138787.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1626;314203020;"MARLENKA international s.r.o.";"25900706";"ZBOŽÍ";10.12.2020;04.12.2020;14.12.2020;"CZK";56649.00;56649.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"";""
"F";1629;9464002348;"T-MOBIL CZECH REPUBLIC AS";"64949681";"SLUŽBY";10.12.2020;31.12.2020;17.12.2020;"CZK";202662.90;202662.90;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";1631;2081100238;"Gerhard Horejsek a spol., s.r.o.";"00526282";"AUTOMOBIL";10.12.2020;06.01.2021;16.12.2020;"CZK";886210.05;886210.05;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"6123";"Dopravní prostředky"
"F";1632;2081100237;"Gerhard Horejsek a spol., s.r.o.";"00526282";"AUTOMOBIL";10.12.2020;06.01.2021;16.12.2020;"CZK";886210.05;886210.05;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"6123";"Dopravní prostředky"
"F";1633;2081100239;"Gerhard Horejsek a spol., s.r.o.";"00526282";"AUTOMOBIL";10.12.2020;06.01.2021;16.12.2020;"CZK";886210.05;886210.05;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"6123";"Dopravní prostředky"
"F";1647;300000296;"ASD SOFTWARE SRO";"62363930";"SLUŽBY IV.Q 2020";11.12.2020;01.01.2021;17.12.2020;"CZK";60621.00;60621.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1660;2020171068;"Metrostav Facility s.r.o.";"25731424";"VÝKOPOVÉ PRÁCE - ZÁVLAHOVÝ SYSTÉM";14.12.2020;07.01.2021;18.12.2020;"CZK";55128.57;55128.57;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";1662;2020171077;"Metrostav Facility s.r.o.";"25731424";"SLUŽBY 11/20";14.12.2020;07.01.2021;18.12.2020;"CZK";146106.07;146106.07;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";1678;9300018450;"NTT Czech Republic s.r.o.";"26175738";"SLUŽBY";16.12.2020;10.01.2021;21.12.2020;"CZK";72647.63;72647.63;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";1679;20201387;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 11/20";16.12.2020;07.01.2021;23.12.2020;"CZK";155606.00;155606.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";1684;2020171101;"Metrostav Facility s.r.o.";"25731424";"OPRAVA PŘEČERPÁVACÍ STANICE - NP";16.12.2020;14.01.2021;22.12.2020;"CZK";79642.20;79642.20;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";1686;1225859711;"Alza.cz a.s.";"27082440";"MOBILNÍ TELEFONY";16.12.2020;10.01.2021;23.12.2020;"CZK";87869.00;87869.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5137";"Drobný hmotný dlouhodobý majetek"
"F";1687;4102291101;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";16.12.2020;28.12.2020;22.12.2020;"CZK";134587.71;134587.71;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";1688;4102281101;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";16.12.2020;28.12.2020;22.12.2020;"CZK";104285.12;104285.12;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";1702;1102792112;"EP ENERGY TRADING, a.s.";"27386643";"EL. ENERGIE";18.12.2020;30.12.2020;23.12.2020;"CZK";97620.00;97620.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";1705;2020067;"TAKTIK, s.r.o.";"28522869";"DODÁVKA SYSTÉMU FIREWALL";21.12.2020;18.01.2021;28.12.2020;"CZK";2077540.96;2077540.96;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"6125";"Výpočetní technika"
"F";1706;2010377;"Networksys a.s.";"26178109";"DODÁVKA SYSTÉMU K BEZDRÁTOVÉ SÍTI WIFI";21.12.2020;14.01.2021;28.12.2020;"CZK";1934205.57;1934205.57;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"6125";"Výpočetní technika"
"F";1708;9110379945;"PRAŽSKÁ ENERGETIKA AS";"60193913";"EL. ENERGIE";21.12.2020;30.12.2020;28.12.2020;"CZK";85404.54;85404.54;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";1720;20344;"MABI Information Security";"24760005";"SLUŽBY";31.12.2020;21.01.2021;18.01.2021;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"";""
"F";289;164756;"The Freeman Company Limited";"";"LORO";27.02.2020;13.03.2020;10.03.2020;"CZK";90113.43;90113.43;"530";"OULKKKP /  ODDĚLENÍ LITERATURY A KNIHOVEN";"5169";"Nákup ostatních služeb"
