Rozliseni;Cislo;VS;Dodavatel;IcDodavatele;UcelPlatby;DatumPrijeti;DatumSplatnosti;DatumUhrady;Mena;Fakturovano;Uhrada;KodStredisko;NazevStredisko;KodRozpPolozka;NazevRozpPolozka
"F";219;2200039;"ABAS IPS Management s.r.o.";"25842811";"BEZPEČNOSTNÍ SLUŽBY 01/20";12.02.2020;06.03.2020;27.02.2020;"CZK";395869.65;395869.65;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";233;9464002348;"T-MOBIL CZECH REPUBLIC AS";"64949681";"SLUŽBY";17.02.2020;28.02.2020;25.02.2020;"CZK";202662.90;202662.90;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";238;41200888;"OKsystem s.r.o.";"27373665";"SLUŽBA VEDENÍ MZDOVÉ AGENDY 01/20";18.02.2020;05.03.2020;24.02.2020;"CZK";98857.00;98857.00;"160";"OŘLZ  /  ODBOR ŘÍZENÍ LIDSKÝCH ZDROJŮ";"5169";"Nákup ostatních služeb"
"F";240;9010359887;"PRAŽSKÁ ENERGETIKA AS";"60193913";"EL. ENERGIE";18.02.2020;03.03.2020;27.02.2020;"CZK";95311.85;95311.85;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";252;1100483426;"EUROPAPIER - BOHEMIA, spol. s";"48112178";"ZBOŽÍ";20.02.2020;05.03.2020;03.03.2020;"CZK";64831.81;64831.81;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5139";"Nákup materiálu jinde nezařazený"
"F";255;4102280101;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";20.02.2020;03.03.2020;03.03.2020;"CZK";128745.54;128745.54;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";256;4102290101;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";20.02.2020;03.03.2020;03.03.2020;"CZK";157730.12;157730.12;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";265;2020170064;"Metrostav Facility s.r.o.";"25731424";"SERVISNÍ A MATERIÁLOVÁ PODPORA 01/20";24.02.2020;10.03.2020;03.03.2020;"CZK";133594.89;133594.89;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";266;112020001;"INSTITUT PRO VEŘEJNOU SPRÁVU";"70890293";"MANAŽERSKÉ VZDĚLÁVÁNÍ";24.02.2020;29.02.2020;03.03.2020;"CZK";90000.00;90000.00;"160";"OŘLZ  /  ODBOR ŘÍZENÍ LIDSKÝCH ZDROJŮ";"5167";"Služby školení a vzdělávání"
"F";273;200100001;"RSOF s.r.o.";"28135679";"SLUŽBY 01/20";25.02.2020;14.03.2020;11.03.2020;"CZK";95590.00;95590.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";275;2735316421;"UNIQA pojišťovna, a.s.";"49240480";"POJISTNÉ";25.02.2020;10.03.2020;19.03.2020;"CZK";194598.00;194598.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5163";"Služby peněžních ústavů"
"F";294;20054;"MABI Information Security";"24760005";"SLUŽBY";02.03.2020;20.03.2020;11.03.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";298;2000000587;"COMPAREX CZ s.r.o.";"63077124";"SLUŽBY";02.03.2020;26.03.2020;11.03.2020;"CZK";59895.00;59895.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";310;1727866348;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 02/20";03.03.2020;14.03.2020;10.03.2020;"CZK";99081.79;99081.79;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5156";"Pohonné hmoty a maziva"
"F";312;2000001;"Moravskoslezská kreativní akademie";"07159889";"PŘÍPRAVA A PORADENSTVÍ KOMUNIKAČNÍ STRATEGIE";03.03.2020;14.02.2020;06.03.2020;"CZK";50000.00;50000.00;"431";"OSF/EU ODBOR STRUKTURÁLNÍCH FONDŮ /projekty EU";"5169";"Nákup ostatních služeb"
"F";341;20200101;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 02/20";09.03.2020;03.04.2020;16.03.2020;"CZK";155606.00;155606.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";343;2200410;"ABAS IPS Management s.r.o.";"25842811";"BEZPEČNOSTNÍ SLUŽBY 02/20";09.03.2020;01.04.2020;18.03.2020;"CZK";369067.66;369067.66;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";354;8003161147;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 02/20";10.03.2020;30.03.2020;17.03.2020;"CZK";58186.38;58186.38;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";355;9464002348;"T-MOBIL CZECH REPUBLIC AS";"64949681";"SLUŽBY";10.03.2020;01.04.2020;26.03.2020;"CZK";202662.90;202662.90;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";358;11200322;"YOUR SYSTEM, spol.s r.o.";"00174939";"SLUŽBY";11.03.2020;02.04.2020;26.03.2020;"CZK";179842.30;179842.30;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";360;200100002;"RSOF s.r.o.";"28135679";"SLUŽBY 02/20";11.03.2020;10.04.2020;26.03.2020;"CZK";95590.00;95590.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";361;190101538;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA";11.03.2020;09.04.2020;26.03.2020;"CZK";166361.09;166361.09;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";376;22000222;"MÚZO PRAHA SRO";"49622897";"ZPRACOVÁNÍ ÚČETNÍCH DOKLADŮ 12/2019";12.03.2020;25.03.2020;18.03.2020;"CZK";63775.47;63775.47;"420";"OE  / ODDĚLENÍ ROZPOČTU";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";379;200010;"TRANSLINGUA ČR S.R.O.";"61060879";"PŘEKLAD";16.03.2020;27.03.2020;30.03.2020;"CZK";74880.00;74880.00;"140";"OMV  /  ODBOR MEZINÁRODNÍCH VZTAHŮ";"5169";"Nákup ostatních služeb"
"F";387;1102792103;"EP ENERGY TRADING, a.s.";"27386643";"EL. ENERGIE";16.03.2020;30.03.2020;25.03.2020;"CZK";92151.00;92151.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";396;4102290201;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";17.03.2020;30.03.2020;25.03.2020;"CZK";144082.35;144082.35;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";397;2200533;"ABAS IPS Management s.r.o.";"25842811";"BEZPEČNOSTNÍ SLUŽBY 03/20";18.03.2020;09.04.2020;30.03.2020;"CZK";86252.08;86252.08;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";399;2020170147;"Metrostav Facility s.r.o.";"25731424";"SERVISNÍ A MATERIÁLOVÁ PODPORA 02/20";18.03.2020;06.04.2020;26.03.2020;"CZK";126602.30;126602.30;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";402;4102280201;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";19.03.2020;30.03.2020;26.03.2020;"CZK";102799.52;102799.52;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";403;9020361598;"PRAŽSKÁ ENERGETIKA AS";"60193913";"EL. ENERGIE";19.03.2020;02.04.2020;26.03.2020;"CZK";85627.22;85627.22;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";404;5208067936;"SODEXHO PASS ČR AS";"61860476";"STRAVENKY";20.03.2020;07.04.2020;30.03.2020;"CZK";1500000.00;1500000.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";409;2020012010;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";20.03.2020;08.04.2020;06.04.2020;"CZK";79860.00;79860.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";410;2020012011;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";20.03.2020;08.04.2020;09.04.2020;"CZK";68145.99;68145.99;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";412;2020012013;"GORDIC spol. s r.o.";"47903783";"SLUŽBY";20.03.2020;08.04.2020;06.04.2020;"CZK";136518.25;136518.25;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";415;41201144;"OKsystem s.r.o.";"27373665";"SLUŽBA VEDENÍ MZDOVÉ AGENDY 02/20";24.03.2020;06.04.2020;07.04.2020;"CZK";98857.00;98857.00;"160";"OŘLZ  /  ODBOR ŘÍZENÍ LIDSKÝCH ZDROJŮ";"5169";"Nákup ostatních služeb"
"F";437;20088;"MABI Information Security";"24760005";"SLUŽBY";01.04.2020;21.04.2020;09.04.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";438;2000001217;"COMPAREX CZ s.r.o.";"63077124";"SLUŽBY";01.04.2020;01.05.2020;16.04.2020;"CZK";59895.00;59895.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";441;200507;"Monitor Cz, s. r. o.";"26142104";"PŘEDPLATNÉ";01.04.2020;30.04.2020;09.04.2020;"CZK";93254.00;93254.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5136";"Knihy, učební pomůcky a tisk"
